|   x   |  series(x) |    y(x)    |    error   | steps |
|  0.00 |  1.000000 |   1.000000 |   0.000000 |     1 |
|  0.10 |  0.988813 |   0.985087 |   0.003726 |     2 |
|  0.20 |  0.956001 |   0.941384 |   0.014617 |     3 |
|  0.30 |  0.903744 |   0.871905 |   0.031839 |     4 |
|  0.40 |  0.835469 |   0.781385 |   0.054084 |     4 |
|  0.50 |  0.755552 |   0.675871 |   0.079681 |     5 |
|  0.60 |  0.668946 |   0.562201 |   0.106745 |     5 |
|  0.70 |  0.580757 |   0.447420 |   0.133337 |     5 |
|  0.80 |  0.495826 |   0.338182 |   0.157644 |     6 |
|  0.90 |  0.418299 |   0.240189 |   0.178109 |     6 |
|  1.00 |  0.351310 |   0.157729 |   0.193582 |     7 |
|  1.10 |  0.296743 |   0.093327 |   0.203416 |     7 |
|  1.20 |  0.255088 |   0.047579 |   0.207509 |     8 |
|  1.30 |  0.225438 |   0.019141 |   0.206297 |     8 |
|  1.40 |  0.205630 |   0.004910 |   0.200720 |     8 |
|  1.50 |  0.192459 |   0.000354 |   0.192105 |     9 |
|  1.60 |  0.182049 |  -0.000025 |   0.182074 |     9 |
|  1.70 |  0.170219 |  -0.002139 |   0.172358 |    10 |
|  1.80 |  0.152899 |  -0.011728 |   0.164628 |    10 |
|  1.90 |  0.126569 |  -0.033789 |   0.160358 |    10 |
|  2.00 |  0.088585 |  -0.072068 |   0.160653 |    11 |
|  2.10 |  0.037516 |  -0.128670 |   0.166186 |    11 |
|  2.20 | -0.026730 |  -0.203818 |   0.177087 |    12 |
|  2.30 | -0.102855 |  -0.295776 |   0.192921 |    12 |
|  2.40 | -0.188219 |  -0.400957 |   0.212738 |    13 |
|  2.50 | -0.279046 |  -0.514199 |   0.235153 |    13 |
|  2.60 | -0.370740 |  -0.629178 |   0.258438 |    13 |
|  2.70 | -0.458239 |  -0.738940 |   0.280701 |    14 |
|  2.80 | -0.536483 |  -0.836489 |   0.300006 |    14 |
|  2.90 | -0.600803 |  -0.915380 |   0.314577 |    15 |
